ReviewTitle,ReviewBody,ReviewStar,Product
"Best headset in this price range ..
","Worth for the price.. paring with the second device seems to be bit difficult.. but once u got used to it then it’s fine ..
",5,boAt Rockerz 255
"Quality product
","Wow superb voice quality, buying awesome, thanks to Amazon.
",4,boAt Rockerz 255
"Nice product. Design can be improved
","Better to go for headset if you have the troubles of ear fitting and irritation issues.Product is good
",4,boAt Rockerz 255
"Amazing sound. But not durable and long lasting
","It had amazing sound quality and amazing bass. But the right side of the headphone goes bad after about 3 months. I repalced it once...but same problem occured with the second earphone as well.
",3,boAt Rockerz 255
"Good in price which we paid
","Good in price which we paid - but lack of sound clarity
",3,boAt Rockerz 255
"Above my expectations.
","I didn't expect it to be this good. Great fitting and very comfortable for workouts and general use.
",5,boAt Rockerz 255
"Amazing ❤️
","Value for money product. Got this for 1500 bucks. Comfortable fit . Mic positioning is well done. Bass is nicely maintained. Overall 4.7/5.
",5,boAt Rockerz 255
"Go for it
","Very nice product
",5,boAt Rockerz 255
"Good product
","Good productOnce music turned on, you will not hear a single word from outside worldQuality is not as expected but cannot complain if you get this product in just 1100 INR
",4,boAt Rockerz 255
"Very nice
","Very Good Product... Battery life is good.. At this range.. 1099 loved it.. Thank you Amazon...
",5,boAt Rockerz 255
"Very poor build quality
","After 18 days of usage. Suddenly One of the ear phone mic is broken and lost.. And they will not return or replace because 15 days are crossed... Build quality is very poor...
",1,boAt Rockerz 255
"Best wireless earphones in the range.
","The earphones are handy, have amazing sound quality and bass.However it would be helpful if they provided additional ear buds and support piece along with the packaging.
",4,boAt Rockerz 255
"Mind blowing headphone....I like boat..good bass ..all everything goid
","Mind blowing headphone....I like boat..
",5,boAt Rockerz 255
"Value for money
","Got it at a discount...
",5,boAt Rockerz 255
"Too heavy in ear.
","It's felt too heavy in ear also doesn't fit well in ear. I had headache within 30 mins of use.
",2,boAt Rockerz 255
"Good product, but speaker went dead from right speaker. After 5 months.
","It's been 4months for my bluetooth headphone and it worked really well now right speaker has stopped working. Kindly suggest as found service centre nearby.
",3,boAt Rockerz 255
"Boat Rockerz 255+ Poweramp Music Player= Perfect Sound
","This is one of the best wireless earphones.It has a perfect smooth bass effect.Sound output would be great with poweramp music player and equalizer setting.
",5,boAt Rockerz 255
"Nice product !
","Value for money product if you are buying it under 1.5k. battery life & sound quality is amazing... I'm using this product from last 2 weeks so till now it's working nice !
",4,boAt Rockerz 255
"All good if u get in sale at 999 only
","All good if u get in sale at 999 only
",5,boAt Rockerz 255
"Good but not best
","Everything was good but my one side of earphones started to go soon....i bought 2 and both of them went off like that within 2 months of purchasing
",3,boAt Rockerz 255
"Brilliant!
","The bass and sound quality are on par, if not better, with other branded earphones which costs at least twice as much. The bass gave me goosebumps.
",5,boAt Rockerz 255
"Magnet not strong
","Used for more than 24 hours.Sound is good. The only con i faced was that tha magnetic capabilities were not storng enough. So it can be lost easily
",4,boAt Rockerz 255
"Good product but not the best one
","Till now it's working except sometime its microphone creates unnecessary disturbance due to which person at the other end cannot hear it properly..
",4,boAt Rockerz 255
"Best in class
","If your budget is below 2k then u can definitely go for it...only found two issues so far 1. Range of Bluetooth 2. Built quality..
",4,boAt Rockerz 255
"Best products in that price.
","Best products in that price...the headphones has sover finishing..the sound quality and bass is very good depends on equaliser.. battery back up 7 hr in full sound..
",5,boAt Rockerz 255
"Best in this budget
","This earphones are perfect in this budget.The sound quality is nice but here the base of the earphone is so high due to which clearity of the sound is affected
",5,boAt Rockerz 255
"Perfect in this price ..
","According to its price it is better one but when I use it on high volume it irritates me noise cancellation is not so good .
",4,boAt Rockerz 255
"Ok product
","Ok product. Sometime it takes more time for pairing and sometime it is auto disconnecting also. But sound quality is good.
",3,boAt Rockerz 255
"Sound Quality
","Boat"" never compromise in sound quality. its battery lasts whole day. noise cancellation is pretty good. it is worth cost.
",5,boAt Rockerz 255
"Boat rockers 255
","Sound quality is very goodBattery backup is not so good...if want to good battery backup and can slightly compromise with sound quality then u can go with boult earphones
",4,boAt Rockerz 255
"Good
","Sound quality could have been better. Otherwise a good buy.
",4,boAt Rockerz 255
"Best budget Bluetooth earphone
","This is my first Bluetooth earphone and i am pretty impressed. Sound quality is awsome and battery life is also very good. I got it at 999
",5,boAt Rockerz 255
"Go for it if you have budget
","Bass Is too good perfect for a music lover and so comfortable.
",5,boAt Rockerz 255
"Beware of quality
","Very bad product. Stopped working exactly after 3 months use.
",1,boAt Rockerz 255
"Love it
","Good for gym
",4,boAt Rockerz 255
"Two Stars
","The bluetooth keeps on disconnecting.
",2,boAt Rockerz 255
"Perfect
","Very nice bass good backup
",5,boAt Rockerz 255
"Battery backup low
","Every thing is perfect but ,,one problem that is battery backup... Battery backup is very low,and didn't expected.
",4,boAt Rockerz 255
"Superbbbb
","Gud product and best prize...gud bass.. voice clarity ... Noise control superb..  Thanks amazon timely deliver....
",5,boAt Rockerz 255
"worst product...
","don't buy this product because it has connection problem(if you are user of mi mobile) and also when you pair continue 2-3 time and next it will goes automatically power off.
",1,boAt Rockerz 255
"A fab purchase!
","The overall look is decent, comes with a great sealed packaging, i wish the bass ""sound quality"" would have been slightly better when compared to d jbl's n d skullcandy's....
",4,boAt Rockerz 255
"Superb
","Awesome sound... loved it using while my work outs
",5,boAt Rockerz 255
"Nice quality
","Super strong sound quality
",5,boAt Rockerz 255
"1499/- are worth giving for it 🤩🤩
","The earpiece brings a great comfort while using it and has the long lasting battery life which is great for using. Satisfied with the product 👍👍
",4,boAt Rockerz 255
"Worst package..
","EXTREMELY WORST PACKAGE, SEEM ITS OPENED BY SOMEONE.VERY UNSATISFIED WITH PACKAGEPRODUCT IS GOOD, BUT DON'T KNOW ITS USED OR NOT
",1,boAt Rockerz 255
"Powerful voice. Deep bass effect. Long battery life
","Powerful voice. Deep bass effect. Long battery life
",5,boAt Rockerz 255
"value for money
","got it for 1100 via sale and really loving it
",5,boAt Rockerz 255
"Charging problem
","Its not charging,its showing battery life as low and when i plug in charge it shows blue LED light .
",2,boAt Rockerz 255
"Good sound bad reception
","Sound Quality is very good but reception is bad as conpared to other Bluetooth earphonesIf your phone is in your pockets then the audio will start buffering..
",3,boAt Rockerz 255
"Descent sound but not so comfortable
","Descent sound and build quality. Everage battery life. But not so comfortable.
",4,boAt Rockerz 255
"HORRIBLE PRODUCT. BUY THIS AT YOUR OWN PERIL!!
","HORRIBLE PRODUCT!! the right speaker stopped working  5 months from purchase. battery drains out in 3 hrs. SAVE YOURSELF FROM THIS SCAM AND DONT GO FOR THIS!!
",1,boAt Rockerz 255
"Grt
","Its so awesome. Sound qly superb. Its flexible. While driving without support it cannot be stable.But over all grt product.
",5,boAt Rockerz 255
"Good product
","2nd Boat product.. affordable and good
",5,boAt Rockerz 255
"Ver good product
","Very good product. Sound reproduction is amazing with optimal bass but ear buds causes pain on long use
",5,boAt Rockerz 255
"Awesome purchase
","Awesome water resistance...Good sound quality... Practical item and economic also
",5,boAt Rockerz 255
"Good earphone small issur with battery backup.
","Good earphone just small issue with battery backup. Over good earphone for those you use them rarely.
",4,boAt Rockerz 255
"Excellent!!  worth
","This Bluetooth earphone is just amazing! bass ! Sound quality is just wow !!awsome!! excellent ! This product is value for money!! Beast Bass Bass Bass wow!!!!! Mind blowing
",4,boAt Rockerz 255
"Worst headphones
","Worst ever headphone to buy when I play music the right side of it feels like it's going to make me deaf from one side no bass no nothing
",1,boAt Rockerz 255
"Kindly change my Bluetooth
","This product one side not working one side good condition but another site not working how to change my Bluetooth ear please inform to me
",2,boAt Rockerz 255
"Initially okay, not good for long time usage.
","In 2 months, with one beat on high node, one side earphone went deaf.  Applied for replacement. Let's see.
",3,boAt Rockerz 255
"Good product
","Good bass, good for calling , battery is good(1 hour charging 4hour usage). Light weight. Fast bluetooth connection. I love this product. Build quality good for price range.
",4,boAt Rockerz 255
"Boat desingned for money worthy rockerzz
","Money worthy having bass with this cost is very few i am satisfied with this,but while driving there might get some less noise cancellation otherwise awesome product by boat
",5,boAt Rockerz 255
"Best Budget Bluetooth earphone.
","Sounds superb considering the price ( got it for 1499) & looks are good too.
",5,boAt Rockerz 255
"Worth to buy
","Awesome sound
",4,boAt Rockerz 255
"Hands free and good sound quality
","Good Battery, Sound. Cons- Bluetooth disconnecting when mobile in pant pockets. Wondering what happens to the range and what needs to be done.
",4,boAt Rockerz 255
"Awesome
","Nice product
",5,boAt Rockerz 255
"Good
","Good product. Battery is also good upto 6 hrs. Bass also good. Overall nice in this budget.
",4,boAt Rockerz 255
"Waste of money
","Sound quality is not good for this price and the ear buds doesn't fit in ear, I want to return this product..I ll go for a wired headphone instead..
",1,boAt Rockerz 255
"AWESOME!!FANTABULOUS❤️❤️❤️
","I will not post the pics as the Headphone is Already Awesome.Just Listen this song in the pic on youtube and you will find out the true Worth of your Producd and Money.
",5,boAt Rockerz 255
"It's Wow.I like & love it This product is amazing. I'm very happy.
","It's Wow.I like & love it.This product is very good. I'm very happy.
",5,boAt Rockerz 255
"Wonderful Product
","Great bluetooth headset, very durable, value for money, terrific bass, no problems in calls.
",5,boAt Rockerz 255
"Voice quality is not Good
","The quality of product is not up to the mark scale. The voice when connected over Bluetooth is not clear some irritating voice like burrrrr...is continuing coming.
",1,boAt Rockerz 255
"Not thats much good
","Connectivity issues, battery is not good, only last for 1-2 hour, whenever in pocket i suffer glich evrytime, connectivity stops and audio is not properly received
",3,boAt Rockerz 255
"Liked it
","After using this product for 6 months i can only say ""go for it"". It is built perfectly for me (auto turn off, battery backup, easy to carry, button controls and much more).
",5,boAt Rockerz 255
"Awesome earphones
","Awesome earphones with heavy bass in cheap price...I recommend to all for buyingOne best one under 2k category.....Worth buying
",5,boAt Rockerz 255
"Great product..in this price
","Great sound... Great connectivity... Good while sporting... I do running and it's. A great while using in running.
",5,boAt Rockerz 255
"Better than than the expensive wired ones
","I saw the high reviews and decided to buy. The  wireless earphones are better than the wired one; the sound quality is amazing. I use it everyday for my workouts.
",5,boAt Rockerz 255
"Must by this product and have good experience enjoy your music
","Worthy product and sound quality is good  compared to other Bluetooth wireless earphones around this budgetsGood experience .Clear soundBass is good
",5,boAt Rockerz 255
"Defective item
","Dear amazon team,Product was good but till 1 month only after 1 month earphone stop working by 1 side why are you selling this type of product If it's defective item.
",1,boAt Rockerz 255
"Not so great product
","The sound quality could be much better in this price range.
",3,boAt Rockerz 255
"Good product
","Good product
",4,boAt Rockerz 255
"Must buy at rs 1100
","Value for money specially @ 1100 nice sound and great bass.. built quality is also good
",4,boAt Rockerz 255
"First bad experience
","Not yet used to listen even a single song  started playing noise in left side of devices waiting for replacement
",2,boAt Rockerz 255
"Recommend Background noise reduction/cancellation
","Lot of background noise is heard and with high sound levels
",5,boAt Rockerz 255
"Defective product
","Stop working in just 2 months is there any warranty of the product?Plz help
",4,boAt Rockerz 255
"Ok Product.
","Noise Cancellation is good.Battery life for me wasn't great. 4 hrs MaxSound Quality is ok.Bass is good
",2,boAt Rockerz 255
"If u want to buy this then definitely go for it...
","At this price range product is goodSound quality is goodBuild quality is goodBattery life is goodI will give 5 out of 4 rating...
",4,boAt Rockerz 255
"Beware - Read it!!! - No PUBG
","Awesome product from boat.* Good build* Great sound* Nioce cancellationBUT Not for pubg becuase sound is lacking behind
",5,boAt Rockerz 255
"High bass gives pain
","Quality is good , battery is very good. But in my experience I bot boat 255 and 210 both having over bass that gives Pain to ear after half and hour
",2,boAt Rockerz 255
"little disappointed
","connection is poor,, if there is anything in between earphones and mobile phone, there is a glitch in the voice or song.
",3,boAt Rockerz 255
"Fantastic
","1. Audio quality is very good.2. Battery backup is excellent.3. Their is some problem of distortion when you are speaking in a call.
",5,boAt Rockerz 255
"Waaaaa
","Very good product. Sound quality best,the bas also is good. Also prefctly fit in ear. For this rate this product is the best...
",4,boAt Rockerz 255
"Quality
","Great sound
",5,boAt Rockerz 255
"Just Go with if your budget is 1000rs .....
","Really nice product....value for money and Nice quality but the base the not good and the battery life is average...I brought this one for 1000rs....
",4,boAt Rockerz 255
"Battery problem
","It just gave me 15 minutes play then it will be switching off automatically
",4,boAt Rockerz 255
"Affordable best earphones
","I bought these for Rs1399 and believe me these are the best earphones you'll get at this price. The bass is extremely good. Don't think too much about it just order these.
",5,boAt Rockerz 255
"Amazing product from boat
","Sound quality is good, Deep bass, battery life is good, perfectly fits in your ear even while you are running.Cons build quality was not so good wires are very thin.
",5,boAt Rockerz 255
"Better earphone
","Sound quality is amazing, battery life is good, bass is awesome, but noise cancellation is poor but ok, but some time music is stuck...
",4,boAt Rockerz 255
"Poor battery backup
","The headphone is good but the battery backup is not so good
",4,boAt Rockerz 255
"You wont regret it!
","I really like the sound quality this earphone offers. Very pocket friendly. Must recommended for on the go people. Charges pretty fast too.
",4,boAt Rockerz 255
"Just ok.
","It's not an amazing product in this price range. But still it's ok. I got this for 1300. It just above average.
",3,boAt Rockerz 255
"very good
","very good
",4,boAt Rockerz 255
"Killer!
","Best earphones for this price. Go for it without a second thought!
",5,boAt Rockerz 255
"Working as expected
","I found it as described by the manufacturer.
",4,boAt Rockerz 255
"Nice product with two limitations
","Sound is good as on price at 1000 to 1200. Wires are very long so they just swing around here and there. Also mic doesn't have basic noise cancellation.
",4,boAt Rockerz 255
"Poor Noise cancellation
","Purchased this for calling purpose only but noise cancellation was very poor .......so returned back .. sound quality & battery haven't checked
",2,boAt Rockerz 255
"Improvement need
","Noise cancellation-- Not very effectiveSound quality--  Good, switches-off automatically within few mins after battery low  alarm, overall average product.
",3,boAt Rockerz 255
"A very fine and convenient budget earphone!
","Very fine audio quality. Using it for months, no issues. Worth the money.
",5,boAt Rockerz 255
"Good sound quality....
","Fitting is kinda good... But sounds really good.
",4,boAt Rockerz 255
"Good product as per Price
","Good product as per Price
",3,boAt Rockerz 255
"Very nice
","Awesome...
",5,boAt Rockerz 255
"Great sound
","Perfect for Bass lovers..Awesome sound...best in price..delivered in estimated time..Good Quality...finally got a bluetooth headphones which i was searching from so many days..
",4,boAt Rockerz 255
"Cheap n best
","Awesome sound. But the blue tooth range is lesz
",5,boAt Rockerz 255
"Good value for money
","Best bluetooth earphones under 2k, worth every penny
",4,boAt Rockerz 255
"Awesome Go for it
","Sound quality is awesome, battery life is very good . Used it approximately 5hrs non stop and still the battery not discharged
",5,boAt Rockerz 255
"Good product
","The only thing is that is max input is 3.7 V . but today market only most of the chargers are available is 5V charger. Boat should have to change the input Voltage to 5V.
",3,boAt Rockerz 255
"Fine
","Good according to cost but not as expected
",2,boAt Rockerz 255
"Never buy this.
","Never buy this product. Battery backup is tooooo low. I have asked for replacement but they have returned me as it is.
",1,boAt Rockerz 255
"highly disappointed
","worst product ever used.. discharge in 1 hr no matter how long u charge and if u try to return they will not accept ur return. in short u r stuck with product once bought
",1,boAt Rockerz 255
"Awesome product for this price
","This product has greater value for money. Good sound quality greater bass. Noise cancelation is also good. I never think the product is going to performs in such a manner
",5,boAt Rockerz 255
"Good for Nothing
","Today is June-26 bought it in the month of April. It doesn't connect to the phone and powers off for no reason . Bought it for Rs 1500
",1,boAt Rockerz 255
"Product delivered was not sealed
","Product delivered was not sealed.... It was already opened as both the sticker were removed.
",3,boAt Rockerz 255
"GREAT PRODUCT WITH CHEAPEST PRICE.
","excellent products in cheaper price point. no comparison.
",5,boAt Rockerz 255
"good buy
","all good except the battery time,it can give 5-6 hrs backup(of continuous usage) but i feel it is less.
",4,boAt Rockerz 255
"Excellent
","Excellent
",5,boAt Rockerz 255
"ears getting pain after wearing 10 mins...
","need to improve sound quality,it is not fit in ear perfectly..ears getting pain because of the rubber design..
",2,boAt Rockerz 255
"KOOL  ND OSM
","kool guys.. i bought this is 1100 its really kool.....if ur buying..this  dont think anything...jst bring to ur home.....nd moreover its opinion...guys
",5,boAt Rockerz 255
"Great product for the price
","Excellent product for the price. The connectivity is excellent. Product has a near finish.The Bass could have been better but consider ing the price i am not complaining
",5,boAt Rockerz 255
"Need warrenty claim ,very bad quality
","I ordered boat rockerz 255 two and half month ago,the right ear bud stopped working,now i dont know where to claim the warranty becuase in pune there is no service center.
",1,boAt Rockerz 255
"Nice quality and sounf effect
","Beautiful look and best sound effect Bluetooth support nice one
",5,boAt Rockerz 255
"Fit issue
","The battery backup is superb..but when the earpods go into ur ear..its too tight and u cant hear anything from outside world even when there is no music playing
",2,boAt Rockerz 255
"Goood product
","It is good product . Good sound quality is not cancellation is not too good but its work. Its base is too good but vocals are it is very good.
",5,boAt Rockerz 255
"Best earphone who are looking in reasonable price
","Awesome earphone with great sound quality.. loved it core.. very easy to handle and very durable
",5,boAt Rockerz 255
"super
","superb sound quality and bass
",5,boAt Rockerz 255
"Good Quality
","Good Quality
",5,boAt Rockerz 255
"Good product
","Packaging superb, voice quality is excellent. Overall good product
",5,boAt Rockerz 255
"Value for money
","Fantastic 👂 phone
",5,boAt Rockerz 255
"Bass heavy
","Decent product. Really bass heavy so eats up other frequencies which eats up the over all audio quality.Good battery life.Good built.
",3,boAt Rockerz 255
"Boat rockers 255
","It's sound quality is good and it does not come out from ears while doing any work but it's mic doesn't work properly
",4,boAt Rockerz 255
"Issue in battery backup....😠😠😠😠😠
","Very bad battery backup.😠Nothing can be worse than this....And earphone is not comfortable...It's so bad....Can I change it....
",1,boAt Rockerz 255
"Good 👍👍
","Good👍👍
",5,boAt Rockerz 255
"Great headphones
","Great product.
",5,boAt Rockerz 255
"Exclent bass
","Bass was awesome quality also good no dought to buy for bass lovers in low cost earphns this one is best
",5,boAt Rockerz 255
"🤔🤔🤔
","Bluetooth range is not sufficient call earring  quality is not good it's only nice for listening songs
",3,boAt Rockerz 255
"Good
","Not bad as per the price. Sound quality not too good.
",3,boAt Rockerz 255
"Awesome Product.. best in this price Range.
","Sound Quality -4/5Batter -3/5Durability, make -- 4/5
",5,boAt Rockerz 255
"Bad quality !!
","A week after the purchase of this product it's not working on one side.... very bad quality !!!
",1,boAt Rockerz 255
"Good budget item
","Good one and great value for money
",5,boAt Rockerz 255
"Must buy in the segment
","Excellent product. Value for money !
",5,boAt Rockerz 255
"Good product with no noise cancellation.
","The product is good with good battery life and sound quality. The noise cancellation is not there. All external noise are transferred in good clarity.
",5,boAt Rockerz 255
"Battery problem
","Sounds quality is good bt poor battery performance.. it shows that battery is full bt suddenly it drops very low and earphone is going to switch off..
",3,boAt Rockerz 255
"Worth a buy!!
","Boat Bluetooth headset is very good with good bass and effect and worth buying but the only drawback is battery backup during long call conservations.
",5,boAt Rockerz 255
"Impressive one
","First of all great ...deal at this price. Sound quality is clear. Bass is good. Don't you expect like sennheiser but great earphone within 1500 bucks.
",5,boAt Rockerz 255
"Better earphone in range
","Sound quality is so good
",2,boAt Rockerz 255
"Overall its good
","Sound quality is very nice. Sometimes there is connectivity problem..
",5,boAt Rockerz 255
"Good one
","Brilliant quality worth the price
",5,boAt Rockerz 255
"Nice sound
","Nice sounds
",5,boAt Rockerz 255
"Best earphones
","Sound quality and battery is best. Sets my mood On with its amazing music beats
",5,boAt Rockerz 255
"Good build quality
","The style and build quality is good. Sound clarity could be better. Overall a good buy in this budget.
",4,boAt Rockerz 255
"Rajesh review
","Why not increase battery life
",5,boAt Rockerz 255
"Poor quality
","Very poor quality as far rate is concerned
",1,boAt Rockerz 255
"Value for money
","Pretty decent noise cancellation and good bass. Good for work out and media consumption. Satisfied with the purchase so far.
",4,boAt Rockerz 255
"Superb
","Nice one with comfortable earplugs. Superb sound and battery life. Build quality is very good.
",5,boAt Rockerz 255
"Good product
","Product in this price range is quite goodThere is some handling issues are there but all over sound and battry qulity is very good.I recommend this product.
",4,boAt Rockerz 255
"Good one with best battery backup
","Excellent battery life  guys...And bass is excellent..Overall 10 out 10For this...I recommend to every one who want the best Bluetooth in budget
",4,boAt Rockerz 255
"Good voice
","Good product in this price. Good product & good voice.
",4,boAt Rockerz 255
"Best in class.
","Best buy for your buck, amazing although the range is a little but it's enough i don't think this could be considered as a con for not buying it rest everything is amazing.
",5,boAt Rockerz 255
"All perfect
","Earphones are very good, noise cancellation, build quality, bass is perfect but sometimes connection problem is there.. But allover its good.
",4,boAt Rockerz 255
"Excellent
","Amazing sound effect. Very friendly.
",5,boAt Rockerz 255
"Value for money!!!
","Nice sound quality. Working awesome.
",4,boAt Rockerz 255
"Left ear bud is misfits
","After using for 5 days i am bitt disappointed by left ear bud it was not fitable it's size differ from right one and I'm still thinking of replacement for it
",2,boAt Rockerz 255
"nice product
","Considering price point of view its good, sound quality and battery backup is good, but u can't go for high volume lot of distortion.
",4,boAt Rockerz 255
"Worth at 999
","working good
",4,boAt Rockerz 255
"Worth for every penny...
","Totally worthy for every penny spent... Bought it in offer price Rs.999/- blindly go for it.. totally worth..
",4,boAt Rockerz 255
"Worth your pay!
","This boat rockerz 250 is a good value for money.... But the problem is the wires are way too long. It makes you feel uncomfortable. The sound quality is good.
",4,boAt Rockerz 255
"Bass amazing but sound is only ok
","Bass is too deeply which the best thing in this earphone.and sound quality is also good but not great...valume is also not high but its ok..you can buy this..
",4,boAt Rockerz 255
"Wire size
","The wires are too long that causes discomfort. Hence the design needs improvement. Overall the sound quality is awesome and battery life is also satisfactory.
",4,boAt Rockerz 255
"Worth for this price
","This is absolutely amazing product. The perfect earphones for music lovers i must say, which disconnects you from the world and take you to the musical world.
",5,boAt Rockerz 255
"Left side earphone faulty so soon
","First time purchased boat products and disappointed badlySound quality is good but need improvementAnd aslo product quality is poor in this range.
",2,boAt Rockerz 255
"Supercool and worthy
","Guys just go for it. Its super cool and worth of every penny if you invest. I wont write the features because its already in details but yaa its  a must buy .
",5,boAt Rockerz 255
"Good bass and battery little issues on connectivity
","I like battery performance but having connectivity issues while walking with my phone for example if you cover Bluetooth's buttons portion it got disconnected
",4,boAt Rockerz 255
"One side of the ear piece stops working after a while
","It stopped working in one ear. And the customer care is non responsive.
",2,boAt Rockerz 255
"Bad one guys dont buy please
","Doesn't connect to laptop.Bad sound qualityThe material is quite kind of ploymer so gets heated very oftenNot recommended.
",1,boAt Rockerz 255
"Real Riview
","Bluetooth connectivity is deteriorated. Doesn't work effectively at all. Even its hard and uncomfortable when put in ears for a longer time.
",2,boAt Rockerz 255
"Battery false indication, Connection disturbance, Poor cloth netting
","Battery false indication, Connection disturbance, Poor cloth netting
",3,boAt Rockerz 255
"Poor sound quality
","The sound quality is just pumped up bass with absolute lack of clarity.
",2,boAt Rockerz 255
"Received default product
","Not even one month has passed. And this has stopped working. Background noise is coming. And it gets disconnected with in few seconds after it is connected to my phone
",1,boAt Rockerz 255
"Doesnt work
","First product delivered was faulty so got a replacement. Second one also doesnt work. it just doesnt charge. Horrible. Amazon doesnt allow returns also. Unbelievable!!
",1,boAt Rockerz 255
"Power on not working.
","The earphone does not turn on without being plugged to power! This is a piece of ****. Now i lost my invoice and i don't know how to replace it. Piece of **** product.
",1,boAt Rockerz 255
"good qualities product
","no commands Its Good Qualities.
",5,boAt Rockerz 255
"Good one for 1.5k
","Superb bass , mid and trebles are ok ok ,good and sturdy cable , 8-10hours battery life
",4,boAt Rockerz 255
"Sound quality
","I like the sound quality of this product. i hv been using this for last ten days and i must say that battery life of this one is not that good. overall nice product. it is value for money.
",3,boAt Rockerz 255
"Good product but battery backup is just 2 hrs
","Good Bass, Good Comfort but only thing which is lagging behind is Battery Back up.. Hardly 2 hours of battery backup on full charge
",4,boAt Rockerz 255
"Happy with my purchase
","Got these pair of headphone on sale for 999Worth every penny! Was looking for oneplus bullets but they tend to be oos always!
",5,boAt Rockerz 255
"Very Nice
","This is my second purchase
",5,boAt Rockerz 255
"Boat is best
","Worth the money.Boat as always is best
",5,boAt Rockerz 255
"Unserviceable within three months
","The product is unserviceable just within three months of purchase. Don't recommend immediate buy unless some more development takes place in product
",3,boAt Rockerz 255
"Owsome
","I love this product  🔊 sound quality is good durability it's very nice amazing 🎨 Amazon  is best online marketI got to only 1099👌👌👌
",5,boAt Rockerz 255
"Ugh,..
","After 4 months right side of the earpiece is nkt working otherwise built quality is great and base is superb battery backup is also amazing
",2,boAt Rockerz 255
"Decent product though didn't meet my expectations
","Range of Bluetooth is not good. Sound is more of Bass rather than a balance. disconnects and produces noise while talking on phone for long
",3,boAt Rockerz 255
"DON'T BUY
","I have purchased it and after 3 months it stopped working  properly. U have raised a complaint to Boat service centre but the are not replying. DONT BUY THIS PRODUCT.
",1,boAt Rockerz 255
"Great at this price point.
","The Quality of earphones is good. Bass is really nice. But the worst thing is it's range. It has very poor range, and you have to keep your mobile always close to you
",4,boAt Rockerz 255
"Average product
","Not a great product. So so performance but if u r planning to use it for 8 to 10 mnths and throw it away,  then it is good
",2,boAt Rockerz 255
"Value for money
","Value for money, good quality. Recommend
",5,boAt Rockerz 255
"Best bluetooth earphone
","Good earphone.....  good sound quality and good battery backup.... best bluetooth earphone available at this price
",5,boAt Rockerz 255
"Not good for high base songs
","Product is good for melodious songs and other music but for base songs or for a high beat songs this one is not preferable
",1,boAt Rockerz 255
"Good Headset!
","I brought after seeing many reviews in youtube. It was excellent. iam happy with boat.
",5,boAt Rockerz 255
"Great buy
","Didnt know much about the product quality till I purchased it. Really happy  with it !
",5,boAt Rockerz 255
"Must have a product like this.
","I am very impressed with the sound quality as well as build quality of the product. Last for 4-6 hours of continued usage.
",4,boAt Rockerz 255
"Good Product in this range.
","Good Product in this range. Sound quality is good. Less comfort in ear.
",4,boAt Rockerz 255
"Overall good
","All good. Quality comfortably looks battery.For sounds and bazz 4.5 star
",4,boAt Rockerz 255
"Cords are very long
","The sound is ok the earphone fits ok in my ear but the cords are too long.
",4,boAt Rockerz 255
"Not worth for Rs.1996
","It put my ear on fire...
",3,boAt Rockerz 255
"Awesome earphones, Great for music lovers
","It's a super earphone,build quality and bass is good. It comes around 5-6hours with a solid 100% charge. Fits well in ears doesn't keep falling off
",5,boAt Rockerz 255
"Okayish product.
","Okay product in this range.Sound quality is okay okay.Noice cancellation is good.Bass is not good.Good for workouts though.
",3,boAt Rockerz 255
"not happy
","not happy.. got used n old headphone
",1,boAt Rockerz 255
"Calling feature disappointed
","All is good but the sound quality during phone calls really disappointed..other person could hear a noisy sounds..all but except calling feature is too good
",3,boAt Rockerz 255
"Value for money
","Value for money ...Sometimes it automatically disconnectAlso while talking on battery below 50% there is lots of disturbance
",3,boAt Rockerz 255
"Nice one
","Product has been great and sound quality has been great. Bass lovers will love it.. but there is flaw in connectivity. Overall a good product at that price point.
",5,boAt Rockerz 255
"Great bass quality
","Great bass sounds quality are also good. Bass is too high. Battery backup is good (upto 6hrs with usage). Super flexible neck band
",4,boAt Rockerz 255
"Defective device
","Though the quality n sound is excellent but I have received defective piece.The device is not getting charged.So I have to return it and look for better.
",3,boAt Rockerz 255
"Excellent product.
","Super bass,Crystal clear sound.Batter life is good.Call quality is good.If you are deep bass lover then go for it.
",5,boAt Rockerz 255
"Battery Life is very Bad
","Everything is good.battery was working good at starting stage  but after using 20 days it is not even working 30 minutes. So bad quality product from Boat
",1,boAt Rockerz 255
"Very bad quality product
","I purchased the same on 23rd of April but just after using it for 1 month it has started having problems. After full charge the battery is lasting for 5 minutes only
",3,boAt Rockerz 255
"Boat 225 rockerz
","Good sound quality and probably the best noise cancellation.. i suggest these for calls and listening to music but probably its not the best for gaming. ;-) cheers👍
",5,boAt Rockerz 255
"Not a durable product. regreting. Better to buy samsung level u from shop.
","its a good product. But question on durability. For me it just work for not even 40days. Its show blue colour blink as if the battery is full but its not turning on.
",1,boAt Rockerz 255
"Very bad product and wrong specification posted especially swet proof.
","Within one week i had problem with swet entry and chottering noise issue. Now i cant replace.
",1,boAt Rockerz 255
"Abhisharan
","It's a good product but my battery goes from 100 to 80 to 0, their no in between.. can this be fixed.. I'm sure the product is covered under 1 year warranty..
",4,boAt Rockerz 255
"Best value for money
","This is one great value for money product.Highlights :Light weightPerfect ear canal fitGood sound
",5,boAt Rockerz 255
